RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NetFractionRevolvingBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,MSinceMostRecentDelq%,MSinceMostRecentInqexcl7days%,PercentBadTrades,RegularDelqFlag,HigherUtilizationDelqRisk
Bad,68,194,7,64,37,Never,95,LastYear,6,6,38,6,18,LastYear,unknown,39,10,1,3,52,1.0869565217391304,2.380952380952381,3,0,0
Bad,64,38,1,22,11,,87,6-12months,6,6,15,3,47,Never,UpTo5,40,4,4,0,82,1.5625,0.23201856148491878,27,1,0
Bad,54,111,19,57,10,Never,55,6-12months,4,5,11,0,45,Never,unknown,84,4,2,3,100,1.5625,0.23201856148491878,10,1,1
Good,82,78,3,36,26,,100,Unknown,7,8,26,3,8,Unknown,unknown,1,1,None,0,11,0.21739130434782608,0.4273504273504274,0,0,0
Bad,70,341,25,107,17,OnceOrTwice,75,InLast6Months,0,2,20,0,10,Never,OneOrTwo,9,3,None,0,40,0.7575757575757576,0.23201856148491878,15,1,0
Bad,58,136,13,150,14,Never,71,InLastMonth,3,5,13,0,12,6-12months,unknown,47,8,None,3,82,3.7037037037037033,2.7027027027027026,-7,1,0
Bad,63,182,9,92,23,,96,LastYear,6,6,23,1,35,Never,UpTo5,88,5,3,5,82,1.0869565217391304,0.23201856148491878,0,0,1
Bad,64,331,6,93,30,,83,InLastMonth,4,6,32,2,23,Unknown,UpTo5,3,3,2,1,40,3.7037037037037033,0.4273504273504274,7,1,0
Good,81,222,8,85,39,,100,Unknown,7,8,41,3,34,InLast6Months,unknown,44,4,1,0,55,0.21739130434782608,0.6896551724137931,5,0,0
Good,63,132,6,74,12,Never,86,InLast6Months,4,5,14,1,43,Never,unknown,74,3,1,2,75,0.7575757575757576,0.23201856148491878,15,1,1
Good,81,330,1,102,38,,95,LastYear,6,6,40,3,18,InLastMonth,OneOrTwo,3,2,1,0,20,1.0869565217391304,1.8181818181818181,5,0,0
Bad,55,156,5,65,53,Never,98,InLast6Months,4,6,55,5,36,InLastMonth,Over10,44,7,4,1,92,0.7575757575757576,1.8181818181818181,4,0,0
Bad,69,127,7,64,31,,97,6-12months,5,6,32,3,28,Never,UpTo10,74,7,1,3,75,1.5625,0.23201856148491878,4,0,1
Good,64,390,4,150,53,OnceOrTwice,76,LastYear,6,2,55,3,51,InLastMonth,UpTo5,19,9,5OrMore,1,68,1.0869565217391304,1.8181818181818181,4,1,0
Bad,59,162,25,74,11,OnceOrTwice,71,6-12months,4,3,14,0,43,Unknown,unknown,83,4,2,1,100,1.5625,0.4273504273504274,22,1,1
Bad,70,213,4,90,36,,97,2years+,6,6,36,1,39,Never,noInqueryMade,93,5,3,3,100,0.6172839506172839,0.23201856148491878,0,0,1
Good,90,396,7,121,23,,100,Unknown,7,8,23,1,22,InLast6Months,unknown,1,1,None,0,20,0.21739130434782608,0.6896551724137931,0,0,0
Bad,68,160,6,71,26,OnceOrTwice,84,2years+,6,5,31,3,45,Unknown,unknown,0,0,None,0,25,0.6172839506172839,0.4273504273504274,17,1,0
Good,73,152,2,71,41,,100,Unknown,6,7,44,5,57,Never,UpTo5,16,1,2,1,83,0.21739130434782608,0.23201856148491878,7,0,0
Good,65,133,5,41,17,,94,InLast6Months,4,6,17,5,53,Never,noInqueryMade,43,2,3,1,67,0.7575757575757576,0.23201856148491878,0,0,0
Good,82,292,6,89,33,,100,Unknown,7,8,37,3,32,Never,unknown,10,1,3,0,29,0.21739130434782608,0.23201856148491878,11,0,0
Good,65,165,3,53,27,OnceOrTwice,86,2years+,6,4,35,5,41,Unknown,UpTo5,31,6,2,1,69,0.6172839506172839,0.4273504273504274,23,1,0
Good,71,142,1,60,37,,100,Unknown,7,8,40,6,50,InLast6Months,OneOrTwo,64,4,5OrMore,2,71,0.21739130434782608,0.6896551724137931,8,0,1
Bad,92,137,25,89,19,,100,Unknown,7,8,15,0,58,InLast6Months,unknown,1,1,4,0,78,0.21739130434782608,0.6896551724137931,-26,0,0
Bad,64,30,13,20,3,,67,Unknown,6,6,4,0,80,Never,unknown,33,3,2,0,100,0.21739130434782608,0.23201856148491878,25,1,0
Bad,72,379,18,131,10,Never,92,2years+,6,5,13,0,23,Never,OneOrTwo,67,2,None,1,43,0.6172839506172839,0.23201856148491878,24,0,1
Bad,62,77,9,43,9,OnceOrTwice,64,LastYear,6,2,11,1,64,Never,unknown,33,3,3,0,100,1.0869565217391304,0.23201856148491878,19,1,0
Good,65,56,3,21,7,,86,2years+,6,6,7,3,43,Never,OneOrTwo,23,3,None,1,80,0.6172839506172839,0.23201856148491878,0,1,0
Bad,72,48,10,26,4,,100,Unknown,7,8,4,1,25,Unknown,noInqueryMade,54,3,None,0,100,0.21739130434782608,0.4273504273504274,0,0,0
Bad,66,163,1,55,31,,91,6-12months,6,6,33,3,42,Unknown,noInqueryMade,64,5,2,2,89,1.5625,0.4273504273504274,7,0,1
Bad,68,113,9,45,33,,100,Unknown,7,8,34,3,9,Never,unknown,34,10,1,2,57,0.21739130434782608,0.23201856148491878,3,0,0
Good,65,221,11,77,42,,95,2years+,6,6,42,2,60,Unknown,unknown,71,6,5OrMore,3,94,0.6172839506172839,0.4273504273504274,0,0,1
Bad,75,228,13,79,17,OnceOrTwice,86,LastYear,5,2,21,0,29,InLast6Months,noInqueryMade,7,2,None,0,57,1.0869565217391304,0.6896551724137931,20,1,0
Good,74,247,8,94,13,3-5,72,2years+,6,4,18,2,22,Unknown,unknown,37,6,None,0,70,0.6172839506172839,0.4273504273504274,28,1,0
Good,81,148,1,72,16,,94,2years+,6,6,18,2,39,Never,OneOrTwo,0,0,2,0,75,0.6172839506172839,0.23201856148491878,12,0,0
Bad,79,138,16,71,19,,95,Unknown,6,6,19,0,42,Never,unknown,17,2,2,1,71,0.21739130434782608,0.23201856148491878,0,0,0
Good,75,138,5,68,28,,100,Unknown,7,8,29,2,54,InLast6Months,noInqueryMade,0,1,5OrMore,0,79,0.21739130434782608,0.6896551724137931,4,0,0
Bad,75,174,11,116,27,OnceOrTwice,100,Unknown,6,8,29,1,17,Unknown,noInqueryMade,13,2,None,0,36,0.21739130434782608,0.4273504273504274,7,0,0
Bad,77,201,1,73,23,,100,Unknown,7,8,25,2,40,Never,OneOrTwo,42,5,1,3,64,0.21739130434782608,0.23201856148491878,8,0,0
Good,79,289,4,105,48,,100,Unknown,6,7,51,1,29,Never,OneOrTwo,40,5,2,1,44,0.21739130434782608,0.23201856148491878,6,0,0
Good,77,197,4,74,26,,97,LastYear,6,6,29,4,28,Never,noInqueryMade,36,3,1,1,71,1.0869565217391304,0.23201856148491878,11,0,0
Good,61,67,5,29,14,,93,InLast6Months,4,6,14,1,29,Unknown,noInqueryMade,73,1,1,1,75,0.7575757575757576,0.4273504273504274,0,0,1
Good,87,340,1,137,9,,100,Unknown,7,8,2,1,10,Unknown,unknown,18,3,unknown,0,75,0.21739130434782608,0.4273504273504274,-350,0,0
Good,85,151,3,56,20,,100,Unknown,7,8,21,1,25,LastYear,unknown,7,1,None,0,60,0.21739130434782608,2.380952380952381,5,0,0
Good,84,209,25,118,11,,100,Unknown,7,8,14,0,36,InLast6Months,unknown,11,3,None,0,67,0.21739130434782608,0.6896551724137931,22,0,0
Bad,70,136,20,68,17,,82,LastYear,6,6,17,0,18,Never,unknown,54,6,1,2,80,1.0869565217391304,0.23201856148491878,0,1,0
Good,85,165,1,73,10,,100,Unknown,7,8,13,4,8,Unknown,unknown,11,4,None,0,63,0.21739130434782608,0.4273504273504274,24,0,0
Good,73,437,2,149,18,Never,90,2years+,6,6,18,4,19,Unknown,OneOrTwo,39,3,None,0,42,0.6172839506172839,0.4273504273504274,0,0,0
Good,78,221,4,108,13,,100,Unknown,7,8,15,1,40,InLast6Months,UpTo5,90,2,1,2,80,0.21739130434782608,0.6896551724137931,14,0,1
Bad,63,143,2,40,6,Never,100,Unknown,6,8,18,3,43,Never,noInqueryMade,68,2,2,0,83,0.21739130434782608,0.23201856148491878,67,0,1
Bad,58,450,7,146,5,Never,83,InLastMonth,0,2,6,1,0,Never,unknown,36,3,unknown,0,75,3.7037037037037033,0.23201856148491878,17,1,0
Bad,73,94,1,41,13,,100,Unknown,7,8,21,5,67,Unknown,OneOrTwo,0,1,2,0,67,0.21739130434782608,0.4273504273504274,39,0,0
Bad,55,154,7,68,19,,84,InLast6Months,4,6,22,2,21,InLast6Months,noInqueryMade,62,4,None,3,56,0.7575757575757576,0.6896551724137931,14,1,1
Bad,63,250,25,76,12,,75,InLastMonth,4,6,14,0,17,Never,OneOrTwo,36,5,None,0,75,3.7037037037037033,0.23201856148491878,15,1,0
Bad,70,310,2,58,16,,100,Unknown,7,8,17,5,12,Never,UpTo5,62,6,None,2,88,0.21739130434782608,0.23201856148491878,6,0,1
Bad,59,198,6,89,29,OnceOrTwice,79,LastYear,6,2,34,1,38,Unknown,OneOrTwo,38,10,None,1,86,1.0869565217391304,0.4273504273504274,15,1,0
Bad,67,180,4,81,29,Never,94,2years+,6,2,34,6,53,InLast6Months,OneOrTwo,73,1,1,0,80,0.6172839506172839,0.6896551724137931,15,0,1
Good,88,193,17,119,12,,100,Unknown,7,8,14,0,33,Unknown,OneOrTwo,17,2,None,0,75,0.21739130434782608,0.4273504273504274,15,0,0
Bad,48,155,25,79,32,6+,82,InLastMonth,0,2,40,0,29,Never,OneOrTwo,88,7,5OrMore,3,77,3.7037037037037033,0.23201856148491878,20,1,1
Bad,63,96,13,72,24,,92,6-12months,4,6,24,0,25,Never,UpTo5,58,7,1,1,82,1.5625,0.23201856148491878,0,0,1
Good,68,279,7,86,9,,89,LastYear,5,6,9,2,78,InLast6Months,unknown,90,2,3,2,100,1.0869565217391304,0.6896551724137931,0,1,1
Bad,62,22,1,12,7,,100,Unknown,7,8,9,5,22,6-12months,unknown,59,5,1,0,100,0.21739130434782608,2.7027027027027026,23,0,1
Good,80,220,25,79,25,,100,Unknown,7,8,29,0,41,LastYear,unknown,51,4,4,1,69,0.21739130434782608,2.380952380952381,14,0,0
Good,81,261,3,94,22,,100,Unknown,7,8,22,2,64,InLast6Months,noInqueryMade,67,2,2,0,100,0.21739130434782608,0.6896551724137931,0,0,1
Good,73,208,22,81,28,,90,LastYear,6,6,29,0,28,InLastMonth,noInqueryMade,19,3,1,0,38,1.0869565217391304,1.8181818181818181,4,0,0
Good,91,342,25,130,14,,100,Unknown,7,8,14,0,36,Unknown,unknown,3,2,1,0,50,0.21739130434782608,0.4273504273504274,0,0,0
Bad,59,217,9,83,29,,87,InLast6Months,4,6,31,2,55,Never,unknown,75,6,5OrMore,3,93,0.7575757575757576,0.23201856148491878,7,1,1
Bad,81,131,16,59,19,Never,90,LastYear,6,5,20,0,30,Never,unknown,3,1,None,0,25,1.0869565217391304,0.23201856148491878,5,0,0
Good,71,127,1,54,24,,100,Unknown,7,8,28,5,46,Never,UpTo5,54,4,1,2,55,0.21739130434782608,0.23201856148491878,15,0,0
Good,82,280,13,102,22,,91,2years+,6,6,23,0,9,Never,unknown,3,4,None,1,42,0.6172839506172839,0.23201856148491878,5,0,0
Bad,73,318,3,28,7,,100,Unknown,7,8,13,2,44,LastYear,unknown,17,3,None,0,80,0.21739130434782608,2.380952380952381,47,0,0
Bad,72,194,4,76,31,,100,Unknown,7,8,33,3,27,Unknown,noInqueryMade,22,5,2,1,53,0.21739130434782608,0.4273504273504274,7,0,0
Bad,55,97,15,56,6,OnceOrTwice,40,InLast6Months,4,5,10,0,20,Never,OneOrTwo,38,4,unknown,1,67,0.7575757575757576,0.23201856148491878,40,1,0
Good,69,176,13,84,34,,97,LastYear,6,6,34,0,56,Never,noInqueryMade,52,7,5OrMore,2,81,1.0869565217391304,0.23201856148491878,0,0,0
Good,70,221,3,66,46,,98,2years+,6,6,47,5,6,Never,noInqueryMade,48,3,unknown,2,18,0.6172839506172839,0.23201856148491878,3,0,0
Bad,66,124,1,54,20,,95,2years+,6,6,21,2,5,InLast6Months,UpTo5,54,7,unknown,2,64,0.6172839506172839,0.6896551724137931,5,0,0
Good,66,182,5,98,10,Never,100,Unknown,0,8,12,1,45,Never,unknown,12,1,1,0,60,0.21739130434782608,0.23201856148491878,17,0,0
Bad,76,150,11,54,14,,100,Unknown,7,8,15,1,40,Never,unknown,32,4,1,0,75,0.21739130434782608,0.23201856148491878,7,0,0
Bad,57,23,8,56,4,OnceOrTwice,67,LastYear,6,4,1,1,33,InLastMonth,OneOrTwo,92,1,None,0,67,1.0869565217391304,1.8181818181818181,-300,1,1
Good,85,194,1,97,32,,100,Unknown,7,8,0,2,9,InLastMonth,noInqueryMade,22,4,unknown,0,100,0.21739130434782608,1.8181818181818181,-300,0,0
Bad,62,260,3,74,29,Never,86,InLastMonth,3,5,35,6,40,Unknown,UpTo5,27,7,5OrMore,0,63,3.7037037037037033,0.4273504273504274,18,1,0
Good,90,359,14,110,9,,100,Unknown,7,8,9,0,33,Never,unknown,3,1,None,0,100,0.21739130434782608,0.23201856148491878,0,0,0
Good,70,133,5,63,21,OnceOrTwice,91,6-12months,4,5,23,3,18,Unknown,unknown,16,2,None,0,30,1.5625,0.4273504273504274,9,0,0
Bad,57,198,5,49,8,OnceOrTwice,77,2years+,6,2,13,3,38,Never,noInqueryMade,94,4,1,3,100,0.6172839506172839,0.23201856148491878,39,1,1
Bad,71,103,15,94,6,Never,86,6-12months,6,5,7,0,14,Unknown,unknown,48,2,unknown,0,67,1.5625,0.4273504273504274,15,1,0
Good,82,172,3,80,38,,100,Unknown,7,8,41,2,20,InLast6Months,noInqueryMade,5,6,1,1,64,0.21739130434782608,0.6896551724137931,8,0,0
Good,80,187,2,93,18,,100,Unknown,7,8,19,1,26,Unknown,unknown,31,3,None,2,63,0.21739130434782608,0.4273504273504274,6,0,0
Bad,64,157,2,38,6,3-5,88,2years+,6,2,8,2,50,Unknown,noInqueryMade,34,3,1,0,83,0.6172839506172839,0.4273504273504274,25,1,0
Bad,62,353,2,119,27,Never,86,InLast6Months,4,6,29,6,41,Never,OneOrTwo,37,8,5OrMore,1,89,0.7575757575757576,0.23201856148491878,7,1,0
Bad,81,128,5,58,7,,100,Unknown,7,8,7,1,43,InLastMonth,noInqueryMade,31,1,1,1,50,0.21739130434782608,1.8181818181818181,0,0,0
Good,84,213,9,76,17,,100,Unknown,7,8,17,1,18,LastYear,unknown,35,2,1,0,57,0.21739130434782608,2.380952380952381,0,0,0
Bad,64,261,5,62,27,OnceOrTwice,76,InLast6Months,4,5,39,3,28,Unknown,noInqueryMade,8,2,1,1,40,0.7575757575757576,0.4273504273504274,31,1,0
Bad,72,260,15,142,22,,100,Unknown,7,8,23,0,30,Never,OneOrTwo,90,4,None,3,83,0.21739130434782608,0.23201856148491878,5,0,1
Good,77,165,3,71,30,,100,Unknown,7,8,31,4,29,InLast6Months,OneOrTwo,16,3,1,1,38,0.21739130434782608,0.6896551724137931,4,0,0
Bad,77,107,3,52,22,,100,Unknown,7,8,24,3,33,Never,noInqueryMade,17,4,1,1,55,0.21739130434782608,0.23201856148491878,9,0,0
Bad,64,194,2,56,12,,71,InLast6Months,4,6,0,2,50,Unknown,noInqueryMade,19,1,1,1,60,0.7575757575757576,0.4273504273504274,9,1,0
Good,73,288,2,82,14,,93,InLast6Months,4,6,17,1,20,Never,OneOrTwo,4,2,2,0,63,0.7575757575757576,0.23201856148491878,18,0,0
Bad,73,28,4,18,4,,100,Unknown,7,8,4,1,50,Never,UpTo5,41,2,1,0,100,0.21739130434782608,0.23201856148491878,0,0,0
Good,72,298,5,96,28,,93,LastYear,6,6,28,4,25,Never,unknown,16,5,3,0,50,1.0869565217391304,0.23201856148491878,0,0,0
Bad,66,178,17,110,4,OnceOrTwice,67,InLast6Months,4,3,6,0,17,Unknown,unknown,41,1,None,1,75,0.7575757575757576,0.4273504273504274,34,1,0
Bad,72,294,5,75,20,,95,2years+,6,6,21,3,62,InLast6Months,unknown,57,6,3,2,91,0.6172839506172839,0.6896551724137931,5,0,1
Bad,71,183,15,73,11,Never,85,2years+,6,2,13,0,46,Never,noInqueryMade,49,2,1,0,67,0.6172839506172839,0.23201856148491878,16,1,0
Bad,67,163,1,78,26,,100,Unknown,7,8,27,3,48,InLastMonth,UpTo5,81,6,1,2,75,0.21739130434782608,1.8181818181818181,4,0,1
Good,75,285,6,111,10,,100,Unknown,7,8,10,1,40,6-12months,unknown,96,4,1,3,100,0.21739130434782608,2.7027027027027026,0,0,1
Bad,72,255,6,57,24,,100,Unknown,7,8,24,6,46,Unknown,unknown,69,3,1,1,75,0.21739130434782608,0.4273504273504274,0,0,1
Good,79,325,13,99,23,Never,96,2years+,6,5,24,0,29,Never,noInqueryMade,50,4,2,1,70,0.6172839506172839,0.23201856148491878,5,0,0
Bad,54,232,2,91,19,,70,InLast6Months,4,6,23,3,48,Never,noInqueryMade,97,6,2,0,90,0.7575757575757576,0.23201856148491878,18,1,1
Good,62,341,3,76,33,,100,Unknown,7,8,33,2,45,InLastMonth,UpTo5,67,6,3,5,85,0.21739130434782608,1.8181818181818181,0,0,1
Good,78,76,1,40,22,,100,Unknown,7,8,23,5,35,Never,OneOrTwo,2,2,1,0,67,0.21739130434782608,0.23201856148491878,5,0,0
Bad,66,145,22,74,10,,82,LastYear,6,6,11,0,27,Never,noInqueryMade,74,3,None,2,80,1.0869565217391304,0.23201856148491878,10,1,1
Good,81,199,5,70,32,,94,LastYear,6,6,33,2,27,Unknown,noInqueryMade,2,2,None,0,25,1.0869565217391304,0.4273504273504274,4,0,0
